Date,Close,Volume,Open,High,Low
19-07-2023,10.64,51786920,10.58,11.1,10.58
18-07-2023,10.42,35151560,10.73,10.83,10.27
17-07-2023,10.56,28845710,10.3,10.63,10.21
14-07-2023,10.54,40233550,10.67,10.84,10.46
13-07-2023,10.76,60022470,11.24,11.32,10.72
12-07-2023,11.16,61266100,11.02,11.22,10.71
11-07-2023,10.81,69547490,10.96,11.05,10.44
10-07-2023,10.78,84529570,9.97,10.825,9.79
07-07-2023,9.99,51005240,9.75,10.09,9.66
06-07-2023,9.56,53278440,9.97,10.01,9.49
05-07-2023,10.22,62900550,10.01,10.39,9.81
03-07-2023,10.03,68989250,10.15,10.49,9.79
30-06-2023,9.69,63465220,9.63,10.09,9.59
29-06-2023,9.39,38589920,9.4,9.51,9.25
28-06-2023,9.52,44832940,9.4,9.56,9.18
27-06-2023,9.34,73607610,8.72,9.34,8.66
26-06-2023,8.4,33684130,8.53,8.69,8.395
23-06-2023,8.43,41944310,8.62,8.75,8.28
22-06-2023,8.92,28909850,9.03,9.03,8.74
21-06-2023,9.07,66266590,9.54,9.84,8.96
20-06-2023,9.35,52866000,9.17,9.41,9.06
16-06-2023,9.4,81400060,10.15,10.21,9.35
15-06-2023,9.79,97116490,9.1,9.895,9.05
14-06-2023,9.05,60867180,9.07,9.19,8.8
13-06-2023,8.89,81692770,8.73,9.07,8.6
12-06-2023,8.4,100941400,8.09,8.6,8.07
09-06-2023,7.73,140273500,7.84,8.75,7.69
08-06-2023,7.79,64405840,7.8,7.89,7.6
07-06-2023,7.76,47289110,7.8,7.97,7.58
06-06-2023,7.88,79001900,7.66,7.88,7.3
05-06-2023,7.67,36819190,7.66,7.9,7.5998
02-06-2023,7.56,62511460,7.84,7.99,7.56
01-06-2023,7.54,74201550,7.24,7.64,7.0
31-05-2023,7.53,89228250,7.44,7.54,7.15
30-05-2023,7.41,63374760,7.8,7.92,7.35
26-05-2023,7.7,43110480,7.74,7.84,7.54
25-05-2023,7.54,48702810,7.855,7.86,7.51
24-05-2023,7.92,84695750,8.14,8.21,7.72
23-05-2023,8.75,38539970,8.64,8.85,8.59
22-05-2023,8.79,73546860,8.25,8.85,8.24
19-05-2023,8.07,41574790,7.9,8.14,7.845
18-05-2023,7.82,46481480,7.94,8.03,7.73
17-05-2023,8.03,33411500,7.82,8.05,7.79
16-05-2023,7.91,33815260,8.1,8.105,7.815
15-05-2023,8.25,35602370,8.06,8.28,7.9
12-05-2023,7.95,42114270,8.265,8.34,7.94
11-05-2023,8.45,48355750,8.145,8.45,8.09
10-05-2023,8.13,47366610,8.2,8.52,8.04
09-05-2023,8.16,24846300,7.93,8.22,7.85
